placeType,termDisplayName
Region,Aceh
Nation,Afghanistan
Continent,Africa
State,Alaska
Region,Amanatun
State,Amazonas
Nation,Angola
Region,Anti-Atlas
State,Arunachal Pradesh
Continent,Asia
Nation,Australia
Historical region,Bactria
Region,Bada Valley
Region,Bali
City,Ban Ateng
Region,Bang Chiang
City,Bangkok
Nation,Bangladesh
City,Bawogosali Village
City,Bawomatulua Village
City,Beijing
Nation,Belgium
Region,Belu
Nation,Benin
Strait,Bering Strait
City,Berlin
Region,Berlin-Spandau
Nation,Bhutan
City,Bomari Village
Region,Border of Congo and Angola
Region,Border of Nepal and Tibet
Region,Border of Sarawak and Kalimantan
Region,Border of Tanzania and Mocambique
Island,Borneo
Region,Brandenburg
Nation,Brazil
Nation,Burkina Faso
State,California
Nation,Cambodia
Historical site,"Cambodia, Baphuon"
Region,Cameroon Grasslands
Nation,"Cameroon, Republic of"
Nation,Canada
Region,Central Africa
Region,Central America
Region,Central California
Province,Central Java
Province,Central Kalimantan
Province,Central Sulawesi
Nation,Chad
Nation,China
Province,Coastal Sepik River
Nation,Congo
Nation,Costa Rica
Nation,Czech Republic
City,Dachau
Region,Dashan Village
Nation,Democratic Republic of the Congo
Nation,Denmark
Unknown,"DjennΘ, Mali û Africa"
Nation,Dominican Republic
Province,East Kalimantan
Province,East Nusa Tenggara
Province,East Sepik
Region,East Sumba Regency
Province,East Timor
Region,Eastern Asia
Nation,Egypt
City,Enfield
Nation,England
Island,Espiritu Santo
City,Essen
Nation,Ethiopia
Continent,Europe
City,Fiesole
Nation,Fiji
Nation,Finland
Island,Flores
Region,Flying Point Beach
Nation,France
Region,French Polynesia
Unknown,From the Sacred trove of Paulo Bispo
Historical region,Gandhara
City,Geneva
City,Germantown
Nation,Germany
Unknown,Germany/France
Unknown,Germany/USA
Nation,Ghana
City,Gintu Village
Nation,Greece
Dependent State,Greenland
Province,Gulf Province
Unknown,Halmattera - Maluccu
Mountain Range,Himalayas
City,Hoerve
Province,Houaphanh
Region,Hunstein Mountains
Region,Huon Gulf
Island,Ile Mandiri
Unknown,Ile Oooosa Erin Mope
Nation,India
Nation,Indonesia
City,Insana
Nation,Iran
Nation,Italy
Region,Ituri Forest
Nation,Ivory Coast
Nation,Japan
Unknown,Japan/USA
Island,Java
Region,Kalimantan
Region,Kalumpang
River,Karawari River
City,Kecupak Village
River,Keram River
City,Kinshasa
Island,Kisar Island
Region,Klungkung Regency
Region,Korea
Historical region,Kotoko kingdom
Region,Kruikje in Putten
Region,Kulawi
Region,Lake Sentani
Region,Lake Toba Region
Lake,Lake Toba
Region,Lampung
Province,Lào Cai
Nation,Lao People’s Democratic Republic
City,Lasem
City,Leipzig
Region,Lembata
Island,Lombok
City,London
City,Long Apari
Region,Long Island
City,Louangphabang
State,Louisiana
Province,Luang Prabang
Nation,Madagascar
City,Madrid
River,Mahakam River
City,Makale
Region,Malay Archipelago
Nation,Malaysia
Country,Mali
Archipelago,Maluku Islands
Region,Maprik
Region,Marquesas Islands
City,Marwitz
Region,Melanesia
City,Melbourne
Historical Site,Melrose Plantation
Island,Mentawai Island
Nation,Mexico
Region,Middle East
Province,Milne Bay
City,Mondang
City,Montreal
Province,Morobe Province
Nation,Morocco
City,Moscow
City,Mount Lebanon
Nation,Myanmar
State,Nagaland
Province,Nakhon Ratchasima Province
Region,Natchitoches Parish
Nation,Nepal
Nation,Netherlands
Territory,New Caledonia
Island,New Guinea
State,New Hampshire
Province,New Ireland
City,New Lebanon
State,New Mexico
State,New York
City,New York City
Nation,New Zealand
Island,Nias
Nation,Nigeria
Continent,North America
Region,North and Central America
Region,North Central Timor Regency
Nation,North Korea
Province,North Sumatra
Region,Northeast India
Region,Northern Bali
Region,Northern Nias
Region,Northern Thailand
Region,Northwestern Alaska
Region,Nusa Penida
Continent,Oceania
Historical region,Old Bering Sea
City,Onohonde Village
Bay,Orokolo Bay
Province,Ouomxay
Region,Pacific Islands
Nation,Pakistan
City,Palembang
Province,Papua
Nation,Papua New Guinea
City,Paris
City,Pekalongan
State,Pennsylvania
Nation,People's Republic of China
Nation,Philippines
City,Point Hope
Nation,Poland
Region,Polynesia
City,Port Clarence
City,Prague
Region,Pulau Alor
Province,Quebec
City,Rio de Janeiro
Historical region,Roman Empire
City,Rome
Nation,Russian Federation
Nation,Rwanda
Stream,Salu Putti
City,San Sebastián
City,Santa Fe
City,Sapa
State,Sarawak
City,Sasak Village
City,Shiraz
Region,Sicily
Province,Sidamo
Province,Siem Reap
City,Singaraja
Continent,South America
Region,South Ethiopia
Province,South Kalimantan
Province,South Kordofan
Nation,South Korea
Nation,South Sudan
Province,South Sulawesi
Region,Southeast Asia
Region,Southern Europe
Region,Southern Highlands
Region,Southwest New Britain
Nation,Spain
City,Spandau
Nation,Sri Lanka
Region,St. Lawrence Island
Nation,Sudan
Island,Sulawesi
City,Suliga Village
Island,Sumatra
Province,Sumatra Barat
Island,Sumba
Nation,Sweden
Nation,Switzerland
City,Sydney
Nation,Syria
Region,Tabanan
City,Tae Tung
Region,Tai Dung
Island,Taiwan
Region,Tana Toraja
Region,Tana Toraja Regency
Island,Tanimbar Island
River,Telem River
City,Teplice
Nation,Thailand
Region,Tibet
River,Tila River
Region,Timor
Nation,Timor-Leste
Nation,Togo
Island,Tolokiwa Island
City,Turin
Province,Udon Thani Province
Nation,United Kingdom
Nation,United Republic of Tanzania
Nation,United States of America
Unknown,unknown
Region,Upper Sepik River
Island,Uruma Island
Nation,Vanuatu
City,Velsen
City,Venice
Nation,Vietnam
State,Virginia
Region,Waikato Area
City,Water Mill
Province,West Kalimantan
Province,West Nusa Tenggara
Region,West Sumatra
Region,West Timor
City,Xam Neua
Province,Xieng Khoang
City,Yai-Laos
River,Yukon River
