rawName,termDisplayName
Aceh,Aceh
Afghanistan,Afghanistan
Africa,Africa
Alaska,Alaska
Alor,Pulau Alor
Amanatun Area West Timor,Amanatun
Amazonas,Amazonas
Angola,Angola
Antiatlas,Anti-Atlas
Arunachal Pradesh,Arunachal Pradesh
Asia,Asia
Ateng,Ban Ateng
Australia,Australia
Bactria (Afghanistan),Bactria
Bali,Bali
Bang Chiang,Bang Chiang
"Bangkok, Thailand",Bangkok
Bangladesh,Bangladesh
Barat,Sumatra Barat
Bawogosali Village,Bawogosali Village
Bawomatulua Village,Bawomatulua Village
Bearing Sea,Old Bering Sea
Beijing,Beijing
Belgium,Belgium
Belu Area,Belu
Benin,Benin
Berlin,Berlin
Berlin-Spandau,Berlin-Spandau
Bhutan,Bhutan
Bomari Village,Bomari Village
Border of Congo and Angola,Border of Congo and Angola
Border of Sarawak and Kalimantan,Border of Sarawak and Kalimantan
Borneo,Borneo
Borneo / Kalimantan,Kalimantan
Brandenburg,Brandenburg
Brazil,Brazil
Burkina Faso,Burkina Faso
Burma,Myanmar
Cambodia,Cambodia
"Cambodia, Baphuon","Cambodia, Baphuon"
Cameroon,"Cameroon, Republic of"
Canada,Canada
Central Africa,Central Africa
Central America,Central America
Central California,Central California
Central Java,Central Java
central Kalimantan,Central Kalimantan
Central Kalimantan,Central Kalimantan
Central Sulawesi,Central Sulawesi
China,China
Coastal Sepik River,Coastal Sepik River
Congo,Congo
Costa Rica,Costa Rica
Czech Republic,Czech Republic
Dachau,Dachau
Dashan Village,Dashan Village
Democratic Republic of the Congo (Kinshasa),Kinshasa
Denmark,Denmark
"DjennΘ, Mali û Africa","DjennΘ, Mali û Africa"
Dominican Republic,Dominican Republic
East Bali,Bali
East Borneo,East Kalimantan
East Kalimantan,East Kalimantan
East Nusa Tenggara,East Nusa Tenggara
East Sumba,East Sumba Regency
Eastern Asia,Eastern Asia
Egypt,Egypt
Enfield,Enfield
England,England
Espiritu Santo,Espiritu Santo
Essen,Essen
Ethiopia,Ethiopia
Europe,Europe
Fiesole,Fiesole
Fiji?,Fiji
Finland,Finland
Flores,Flores
Flying Point Beach,Flying Point Beach
France,France
French Polynesia,French Polynesia
From the Sacred trove of Paulo Bispo,From the Sacred trove of Paulo Bispo
Gandhar,Gandhara
Gandhara,Gandhara
Geneva,Geneva
Germantown,Germantown
Germany,Germany
Germany/France,Germany/France
Germany/USA,Germany/USA
Ghana,Ghana
Gintu Village,Gintu Village
Grassland,Cameroon Grasslands
Greece,Greece
Greenland,Greenland
Gulf Province,Gulf Province
Halmattera - Maluccu,Halmattera - Maluccu
Himalaya,Himalayas
Hoerve,Hoerve
Houaphan,Houaphanh
Houaphanh,Houaphanh
Huon Gulf,Huon Gulf
Iban west kalimantan,West Kalimantan
Iban west Kalimantan,West Kalimantan
Ile Mandiri East Flores,Ile Mandiri
Ile Oooosa Erin Mope,Ile Oooosa Erin Mope
India,India
Indonesia,Indonesia
Insana,Insana
Iran (Islamic Republic of),Iran
Italy,Italy
Ituri Forest,Ituri Forest
Ivory Coast,Ivory Coast
Japan,Japan
Japan/USA,Japan/USA
Java,Java
Kalimantan,Kalimantan
Kalimantan / Borneo,Kalimantan
Kalumpang,Kalumpang
Karawari,Karawari River
Kecupak Village,Kecupak Village
Keram River,Keram River
Kisar Island,Kisar Island
Klungkung,Klungkung Regency
Kordofa,South Kordofan
Kotoko,Kotoko kingdom
Kruikje in Putten,Kruikje in Putten
Kulawi,Kulawi
Lake Sentani Region of New Guinea,Lake Sentani
Lampus,Lampung
Lao,Lao People's Democratic Republic
Laos,Lao People's Democratic Republic
Lasem,Lasem
Leipzig,Leipzig
Lembata,Lembata
Lepus Palenbang,Palembang
Lombok,Lombok
London,London
Long Island,Long Island
Louisiana,Louisiana
Lower Yukon River,Yukon River
Luang Phabang,Louangphabang
Luang Prabang,Luang Prabang
Madagascar,Madagascar
Madrid,Madrid
Mahakam River,Mahakam River
Makale,Makale
Mali,Mali
Maluku,Maluku Islands
Maprik,Maprik
Marquesas Islands,Marquesas Islands
Marwitz,Marwitz
Melanesia,Melanesia
Melbourne,Melbourne
Melrose Plantation,Melrose Plantation
Mentawai Island,Mentawai Island
Mexico,Mexico
Middle East,Middle East
Milne Bay Province,Milne Bay
Modang East Kalimantan,Mondang
Morobe Province,Morobe Province
Morocco,Morocco
Moscow,Moscow
Mount Lebanon,Mount Lebanon
Myanmar,Myanmar
Nagaland,Nagaland
"Nagaland, NE India",Nagaland
NE India,Northeast India
Nakhon Ratchasima Province,Nakhon Ratchasima Province
Nepal,Nepal
Nepal/Tibet,Border of Nepal and Tibet
Netherlands,Netherlands
New Caledonia,New Caledonia
New Guinea,New Guinea
New Hampshire,New Hampshire
New Ireland,New Ireland
"New Ireland, Papua New Guinea",New Ireland
New Lebanon,New Lebanon
New Mexico,New Mexico
New York,New York
New York City,New York City
New Zealand,New Zealand
Nias,Nias
Nias Island,Nias
Nigeria,Nigeria
North America,North America
North Sumatra,North Sumatra
Northeast India,Northeast India
Northern Bali,Northern Bali
northern Nias,Northern Nias
Northern Sumatra,North Sumatra
Northern Thailand,Northern Thailand
Northwestern Alaska,Northwestern Alaska
Nusa Penida,Nusa Penida
Oceania,Oceania
Old Bering Sea,Old Bering Sea
Onohonde Village,Onohonde Village
Orokolo Bay,Orokolo Bay
Ouomxay,Ouomxay
Pacific Islands,Pacific Islands
Pakistan,Pakistan
Papua New Guinea,Papua New Guinea
Paris,Paris
Pekalongan,Pekalongan
Pennsylvania,Pennsylvania
People's Democratic Republic,Lao People's Democratic Republic
People's Republic of China,People's Republic of China
Philippines,Philippines
Point Hope,Point Hope
Poland,Poland
Polynesia,Polynesia
Port Clarence,Port Clarence
Prague,Prague
Quebec,Quebec
Republic of (South Korea),South Korea
Rio de Janeiro,Rio de Janeiro
Roman Empire,Roman Empire
Rome,Rome
Russian Federation,Russian Federation
Rwanda,Rwanda
Salu Putti Central Sulawesi,Salu Putti
San Sebastian,San Sebastián
Santa Fe,Santa Fe
Sapa,Sapa
Sapa-Lao Cai province,Sapa
Sarawak,Sarawak
Sasak Village,Sasak Village
Shiraz,Shiraz
Sicily,Sicily
Sidamo,Sidamo
Siem Reap,Siem Reap
Singa Raja,Singaraja
Singaraja,Singaraja
South America,South America
South ethiopia,South Ethiopia
South Ethiopia,South Ethiopia
South Sudan,South Sudan
South Sulawesi,South Sulawesi
Southeast Asia,Southeast Asia
southern Ethiopia,South Ethiopia
Southern Europe,Southern Europe
Southern Highlands,Southern Highlands
southern Tanzania / border area to Mocambique,Border of Tanzania and Mocambique
Southwest New Britain,Southwest New Britain
Spain,Spain
Sri Lanka,Sri Lanka
St. Laurance Island,St. Lawrence Island
St. Laurence Island,St. Lawrence Island
Sulawesi,Sulawesi
Suliga Vllage,Suliga Village
Sumatra,Sumatra
Sumba,Sumba
Sweden,Sweden
Switzerland,Switzerland
Sydney,Sydney
Syria,Syria
Tabanan,Tabanan
Tae Tung,Tae Tung
Tai Dung,Tai Dung
Taiwan,Taiwan
Taiwan (Republic of China),Taiwan
Tanimbar Island,Tanimbar Island
Tanzania,United Republic of Tanzania
Telem River,Telem River
Teplice,Teplice
Thailand,Thailand
Tibet,Tibet
Tila River,Tila River
Timor,Timor-Leste
Toba,Lake Toba
Tolokiwa Island,Tolokiwa Island
Toraja and Bada Valley,Bada Valley
Turin,Turin
United Kingdom,United Kingdom
United Republic of Tanzania,United Republic of Tanzania
United States,United States of America
United States of America,United States of America
unknown,unknown
Unknown,unknown
Upper Sepik River,Upper Sepik River
Uruma Island,Uruma Island
USA,United States of America
Vanuatu,Vanuatu
Velsen,Velsen
Venice,Venice
Vietnam,Vietnam
Virginia,Virginia
Waikato Area,Waikato Area
Watermill,Water Mill
Watermill Center,Water Mill
west Kalimanatan,West Kalimantan
West Kalimantan,West Kalimantan
West Kalimantan Iban,West Kalimantan
West Sumatra,West Sumatra
West Timor,West Timor
West Toraja,Tana Toraja Regency
Xam Neua,Xam Neua
Xieng Khoang,Xieng Khoang
Yai- Laos,Yai-Laos
