type,uri,element,value
collectionobjects,/collectionobjects/0084fecd-2543-4fe5-90e7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/75e31b07-ec95-44af-819b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8bd1d63c-d2cd-46bb-b57f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/370319a0-a464-4341-989b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/dd036ef0-b0cb-4de5-8f7d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9df3d828-ffc0-4cd2-8c8a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/36a7c313-af6e-4487-9a4c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e3c8f066-565e-4091-a049,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9fe6c6f1-25f2-493d-b1e5,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b799ea72-ccd1-4b6d-ad8e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6f425f14-ee9a-4a61-a4c7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9d232bf8-8d24-491a-bfff,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c9364071-90f7-4950-aeb0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/12eef296-39d4-46b5-9b17,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/0fe53346-7f45-42df-90b6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/d6391b87-e8c0-4aeb-b08c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/445b9d2c-dea5-48a3-9dd3,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/3f03fe4b-ef26-40c6-9fce,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8f2335dc-1910-448c-883a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6c76c7ab-15cc-4df5-8137,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/090c3abe-b280-42ab-9305,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9e451fad-725f-4dec-baf5,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/0190a71b-df15-46f3-a18d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4c718822-0417-439a-8025,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/45af1475-c4d2-47cb-9551,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9177cae0-2190-4abb-8269,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e9b16ef3-aaa3-4bf6-9d2d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bcf26775-c919-4b05-b72a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7e463380-14b8-46bc-bf73,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e4a55af4-30c9-4ec8-b98f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ad91e4b7-2e53-4968-b68d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/20cc5b1f-3ae6-451e-90b5,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1cd95027-2b2c-44a1-9664,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4feb9cfe-e3d1-4251-bb5f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c197e482-0f15-4e52-9575,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9c3406a3-a59c-4236-8a12,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7edf739d-a331-47f8-926a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f9e0ba92-ee6b-4932-bb4c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bf9e44c3-9c8d-4cff-afa6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4a19c17b-98d2-4b5a-ba54,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e67b6c18-62b1-4256-b52b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/09c2593d-c4bb-44ac-b000,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4c5bcabe-7847-415e-aecd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/76886c41-585a-4f9f-9d18,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e5b18a26-2b54-4123-832f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/599e592b-ba2e-4263-a555,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f480f248-067b-416d-8a15,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7fca784b-b022-4a39-8268,responsibleDepartment,artcollection
