type,uri,element,value
collectionobjects,/collectionobjects/10853116-70bb-4c55-9577,objectNumber,2014.9855
collectionobjects,/collectionobjects/6325d3f8-2652-4dfa-a226,objectNumber,2014.9733
collectionobjects,/collectionobjects/ff49e026-5e0f-467d-b570,objectNumber,1987.502
collectionobjects,/collectionobjects/3d12e3eb-4edc-49a8-be08,objectNumber,2014.9868
collectionobjects,/collectionobjects/73969e79-a416-431a-9f2c,objectNumber,1981.3
collectionobjects,/collectionobjects/d9a3eb9d-3ce5-4df5-804c,objectNumber,2000.4609
collectionobjects,/collectionobjects/c96feb69-5158-4fb3-a2e6,objectNumber,2010.8932
collectionobjects,/collectionobjects/1f36aaae-475f-474e-9db2,objectNumber,2014.9744
collectionobjects,/collectionobjects/8e143344-04b7-49f3-beda,objectNumber,2014.9742
collectionobjects,/collectionobjects/6431f88b-fa6e-48e9-aa21,objectNumber,2014.9761
collectionobjects,/collectionobjects/23a7ef9c-96e2-4dc7-9958,objectNumber,2014.9808
collectionobjects,/collectionobjects/71145392-030f-43ea-b907,objectNumber,2014.9803
collectionobjects,/collectionobjects/74df4f33-80fc-4c12-8864,objectNumber,2003.6727
collectionobjects,/collectionobjects/06b165fd-e656-4b6b-bb3c,objectNumber,2000.4957
collectionobjects,/collectionobjects/9b28a964-20fc-439d-854a,objectNumber,2014.9817
collectionobjects,/collectionobjects/49d8e044-2272-454e-aa0c,objectNumber,2004.7093
collectionobjects,/collectionobjects/97791dc5-039a-4aa0-8594,objectNumber,1994.118
collectionobjects,/collectionobjects/2246e298-5960-4a31-9325,objectNumber,2014.9801
collectionobjects,/collectionobjects/e4c6e002-5009-45c3-9677,objectNumber,1994.1183
collectionobjects,/collectionobjects/2a225b4e-7b35-4a18-9e54,objectNumber,2001.5637
collectionobjects,/collectionobjects/6a8ac808-651d-4048-a0fd,objectNumber,2013.9714
collectionobjects,/collectionobjects/ec407771-83f9-464a-bf1c,objectNumber,2004.6625
collectionobjects,/collectionobjects/80713386-9095-4318-847f,objectNumber,2013.9702
collectionobjects,/collectionobjects/b0d4a8b7-d9c5-45fe-bfc0,objectNumber,2014.9871
collectionobjects,/collectionobjects/9e5e2a19-1c42-4a5f-8433,objectNumber,2013.9712
collectionobjects,/collectionobjects/9d5a4ee6-14c0-4db7-998b,objectNumber,2004.6651
collectionobjects,/collectionobjects/55abc071-82d9-42d2-a00d,objectNumber,2014.9795
collectionobjects,/collectionobjects/f5d973a1-51e8-4b3f-aa8b,objectNumber,2012.9696
collectionobjects,/collectionobjects/423a0d93-dfd1-4284-b3d0,objectNumber,2014.9866
collectionobjects,/collectionobjects/3fda7ce4-46fd-4cab-b26c,objectNumber,2014.9876
collectionobjects,/collectionobjects/3dbf0174-927c-4bc4-a8e7,objectNumber,2014.9799
collectionobjects,/collectionobjects/f6458331-0cd1-4bec-9595,objectNumber,1981.2
collectionobjects,/collectionobjects/ab263abf-6a41-4a78-a725,objectNumber,2014.9741
collectionobjects,/collectionobjects/f2a3f24d-cb5e-4aa8-8451,objectNumber,2014.9716
collectionobjects,/collectionobjects/de913fe3-6a04-41a6-bd8c,objectNumber,2014.974
collectionobjects,/collectionobjects/b1d90818-3bf8-458d-b2dc,objectNumber,2014.9732
collectionobjects,/collectionobjects/bd256ac3-b1f1-49fe-ad62,objectNumber,2014.9865
collectionobjects,/collectionobjects/9a9cf7e0-04f8-4e63-bafa,objectNumber,2014.9792
collectionobjects,/collectionobjects/c784bd7f-0d27-4711-91b2,objectNumber,2006.7307
collectionobjects,/collectionobjects/9950b5a7-750c-4576-9634,objectNumber,2014.9856
collectionobjects,/collectionobjects/327bac4b-36a1-47e8-95c0,objectNumber,2014.9705
collectionobjects,/collectionobjects/582cfcfb-9c10-44b6-90c3,objectNumber,1987.58
collectionobjects,/collectionobjects/55135f77-e488-4a60-a11c,objectNumber,2014.9873
collectionobjects,/collectionobjects/4f7ea9f0-de23-4df7-ad9e,objectNumber,2014.9874
collectionobjects,/collectionobjects/c8a03501-aba5-4c98-857c,objectNumber,2008.7655
collectionobjects,/collectionobjects/1766c3ed-da80-4939-add3,objectNumber,2001.5803
collectionobjects,/collectionobjects/0084fecd-2543-4fe5-90e7,objectNumber,2014.9854
collectionobjects,/collectionobjects/87178537-79d9-4fa3-b7d3,objectNumber,2014.9719
collectionobjects,/collectionobjects/2b9640d9-5a82-40b9-8a85,objectNumber,2014.9709
collectionobjects,/collectionobjects/cd0eccac-0145-487b-8912,objectNumber,2004.6626
collectionobjects,/collectionobjects/065d51dc-ec56-4370-878b,objectNumber,2004.6628
collectionobjects,/collectionobjects/a252c7b4-3111-4200-aae8,objectNumber,2014.9736
collectionobjects,/collectionobjects/702bf4a5-69ae-4882-8bc1,objectNumber,2004.6642
collectionobjects,/collectionobjects/85ce5f71-f810-41f0-b8cc,objectNumber,2001.5168
collectionobjects,/collectionobjects/3f83576d-02b0-4342-9d51,objectNumber,2003.5166
collectionobjects,/collectionobjects/3b38a79c-bb75-43bc-94dd,objectNumber,2014.976
collectionobjects,/collectionobjects/bfa1e3bd-d729-49e9-8550,objectNumber,2002.654
collectionobjects,/collectionobjects/588263e1-b77f-4519-b4bd,objectNumber,2014.9707
