field,examplevalue,cspaceprocedure,cspaceauthority,cspaceprocedurefield,cspaceauthorityfield,cspaceauthorityref,type,notes
accessno,1982.1,acquisitions,,acquisitionReferenceNumber,,,required,
accdate,11/11/2000,acquisitions,,accessionDateGroup,,,optional,
accby,"Pusey, Sarah",acquisitions,person,acquisitionAuthorizer,termDisplayName,,optional,
recdate,11/30/1981,acquisitions,,acquisitionDateGroup,,,optional,
recby,"Ayliffe, Craig",,person,,termDisplayName,,optional,"No current field, Org home was going to add new one for Institution X"
recas,Gift,acquisitions,,acquisitionMethod,,,optional,Controlled list - static
recfrom,"Neal, Sharon",acquisitions,person,owner,termDisplayName,,optional,
credit,Gift of M.L. Paul Ryan,acquisitions,,creditLine,,,optional,
price,7500,acquisitions,,objectPurchasePriceValue,,,optional,
descrip_,"Private collection of Paul Ryan, inherited from his ""godmother,"" Anna Budlong Cook of Bolinas and Stockton, CA.  Photos taken primarily by Anna Cook, other material property of Anna Cook.  Mrs. Cook (a widow) lived in tent house above Wharf's End, lived",,,,,,optional,merge into notes_
restrict_,No copies are to be made for anyone outside of the copies you need for display,acquisitions,,acquisitionProvisos,,,optional,
notes_,"Roy Farrington Jones was a former Mayor and council member of Ross, CA",acquisitions,,acquisitionNote,,,optional,
email,judith@sfelectricworks.com,,person,,email,recfrom,optional,Bolinas has some ZIPs in email column
website,www.marydanielhobson.com,,person,,webAddress,recfrom,optional,
phoneh,707/526-7585,,person,,telephoneNumberHome,recfrom,optional,Set telephoneNumberType = home
phonecell,707/526-7585,,person,,telephoneNumberMobile,recfrom,optional,Set telephoneNumberType = mobile
phonew,415/868-0300,,person,,telephoneNumber,recfrom,optional,Set telephoneNumberType = business
faxno,415/868-0300,,person,,faxNumber,recfrom,optional,
address1,1290 Rowland Avenue,,person,,addressPlace1,recfrom,optional,
address2,870 Market Street #547,,person,,addressPlace2,recfrom,optional,
city,Bolinas,,person,,addressMunicipality,recfrom,optional,could be reference to place auth
state,CA,,person,,addressStateOrProvince,recfrom,optional,could be reference to place auth
zip,94924,,person,,addressPostCode,recfrom,optional,
ownertype,,acquisitions,,ownerType,,,generated,generated field
